event_id_a,event_id_b,source_a,source_b,date_similarity,location_similarity,description_similarity,same_event,decision,event_typology,review_notes
NEI-2021-AR-003,NEI-2021-AR-015,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),47_DAYS_DIFF,29.99_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 30.0 km and 47 days. Roads: 'NH 13' vs ''.
NEI-2021-AR-004,NEI-2021-AR-007,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),36_DAYS_DIFF,32.07_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 32.1 km and 36 days. Roads: 'NH 13' vs 'Trans Arunachal Highway'.
NEI-2021-AR-004,NEI-2021-AR-013,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),44_DAYS_DIFF,1.54_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 1.5 km and 44 days. Roads: 'NH 13' vs 'NH 52'.
NEI-2021-AR-005,NEI-2021-AR-012,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),3_DAYS_DIFF,8.60_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 8.6 km and 3 days. Roads: '' vs 'NH 52'.
NEI-2021-AR-005,NEI-2021-AR-015,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,20.21_KM,MODERATE,FALSE,DIFFERENT_EVENT,MULTI_SLOPE_CORRIDOR_CLUSTER,MULTI_SLOPE_CORRIDOR_CLUSTER: Distinct slope failures triggered on same date along corridor (20.2 km apart; Loc A: 'Rotlung Village at Kebang' vs Loc B: 'Sangam Bridge Collapse Pangin near'). Roads: '' vs ''.
NEI-2021-AR-006,NEI-2021-AS-001,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,437.47_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 437.5 km and 1 days. Roads: '' vs ''.
NEI-2021-AR-006,NEI-2021-MN-009,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,430.17_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 430.2 km and 1 days. Roads: '' vs ''.
NEI-2021-AR-006,NEI-2021-SK-008,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,658.73_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 658.7 km and 1 days. Roads: '' vs ''.
NEI-2021-AR-007,NEI-2021-AR-013,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),8_DAYS_DIFF,30.63_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 30.6 km and 8 days. Roads: 'Trans Arunachal Highway' vs 'NH 52'.
NEI-2021-AR-007,NEI-2021-AR-016,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),63_DAYS_DIFF,43.17_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 43.2 km and 63 days. Roads: 'Trans Arunachal Highway' vs ''.
NEI-2021-AR-008,NEI-2021-AR-010,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),11_DAYS_DIFF,13.82_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 13.8 km and 11 days. Roads: 'BCT Road' vs 'BCT Road'.
NEI-2021-AR-008,NEI-2021-AR-014,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),38_DAYS_DIFF,20.46_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 20.5 km and 38 days. Roads: 'BCT Road' vs ''.
NEI-2021-AR-008,NEI-2021-AR-017,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),107_DAYS_DIFF,27.78_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 27.8 km and 107 days. Roads: 'BCT Road' vs ''.
NEI-2021-AR-008,NEI-2021-MN-001,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,272.02_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 272.0 km and 1 days. Roads: 'BCT Road' vs ''.
NEI-2021-AR-008,NEI-2021-MN-006,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),2_DAYS_DIFF,270.98_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 271.0 km and 2 days. Roads: 'BCT Road' vs 'Imphal-Tamenglong Road'.
NEI-2021-AR-009,NEI-2021-SK-016,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,496.27_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 496.3 km and 1 days. Roads: 'NH 415' vs ''.
NEI-2021-AR-010,NEI-2021-AR-014,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),27_DAYS_DIFF,17.55_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 17.5 km and 27 days. Roads: 'BCT Road' vs ''.
NEI-2021-AR-010,NEI-2021-AR-017,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),118_DAYS_DIFF,14.35_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 14.3 km and 118 days. Roads: 'BCT Road' vs ''.
NEI-2021-AR-011,NEI-2021-MN-005,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),2_DAYS_DIFF,273.92_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 273.9 km and 2 days. Roads: '' vs 'Imphal-Tamenglong Road'.
NEI-2021-AR-012,NEI-2021-AR-013,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,69.21_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 69.2 km and 0 days. Roads: 'NH 52' vs 'NH 52'.
NEI-2021-AR-012,NEI-2021-AR-015,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),3_DAYS_DIFF,23.49_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 23.5 km and 3 days. Roads: 'NH 52' vs ''.
NEI-2021-AR-012,NEI-2021-ML-002,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,582.31_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 582.3 km and 0 days. Roads: 'NH 52' vs 'NH 51'.
NEI-2021-AR-012,NEI-2021-ML-004,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,550.79_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 550.8 km and 0 days. Roads: 'NH 52' vs ''.
NEI-2021-AR-013,NEI-2021-ML-002,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,514.83_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 514.8 km and 0 days. Roads: 'NH 52' vs 'NH 51'.
NEI-2021-AR-013,NEI-2021-ML-004,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,481.97_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 482.0 km and 0 days. Roads: 'NH 52' vs ''.
NEI-2021-AR-014,NEI-2021-AR-017,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),145_DAYS_DIFF,27.49_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 27.5 km and 145 days. Roads: '' vs ''.
NEI-2021-AR-016,NEI-2021-NL-015,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,193.64_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 193.6 km and 0 days. Roads: '' vs ''.
NEI-2021-AS-001,NEI-2021-AS-003,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),124_DAYS_DIFF,0.94_KM,HIGH,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 0.9 km and 124 days. Roads: '' vs ''.
NEI-2021-AS-001,NEI-2021-AS-004,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),49_DAYS_DIFF,11.61_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 11.6 km and 49 days. Roads: '' vs ''.
NEI-2021-AS-001,NEI-2021-MN-009,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),2_DAYS_DIFF,292.40_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 292.4 km and 2 days. Roads: '' vs ''.
NEI-2021-AS-001,NEI-2021-SK-008,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,337.24_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 337.2 km and 0 days. Roads: '' vs ''.
NEI-2021-AS-002,NEI-2021-MZ-001,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,495.48_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 495.5 km and 1 days. Roads: 'NH 39' vs ''.
NEI-2021-AS-002,NEI-2021-SK-001,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,452.04_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 452.0 km and 1 days. Roads: 'NH 39' vs 'Pakyong to Assam Lingsey Road'.
NEI-2021-AS-002,NEI-2021-SK-002,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,496.17_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 496.2 km and 1 days. Roads: 'NH 39' vs 'Soreng Sombaria Road'.
NEI-2021-AS-002,NEI-2021-SK-015,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),2_DAYS_DIFF,481.70_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 481.7 km and 2 days. Roads: 'NH 39' vs 'Joerthang Legship Road -'.
NEI-2021-AS-002,NEI-2021-TR-001,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,404.97_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 405.0 km and 1 days. Roads: 'NH 39' vs ''.
NEI-2021-AS-002,NEI-2021-TR-002,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,406.27_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 406.3 km and 1 days. Roads: 'NH 39' vs ''.
NEI-2021-AS-003,NEI-2021-AS-004,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),75_DAYS_DIFF,12.14_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 12.1 km and 75 days. Roads: '' vs ''.
NEI-2021-AS-003,NEI-2021-SK-007,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,331.73_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 331.7 km and 0 days. Roads: '' vs ''.
NEI-2021-AS-004,NEI-2021-NL-003,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,244.10_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 244.1 km and 0 days. Roads: '' vs ''.
NEI-2021-AS-004,NEI-2021-NL-006,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,244.05_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 244.1 km and 0 days. Roads: '' vs ''.
NEI-2021-AS-004,NEI-2021-NL-007,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,243.34_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 243.3 km and 0 days. Roads: '' vs ''.
NEI-2021-AS-004,NEI-2021-NL-008,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,240.70_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 240.7 km and 1 days. Roads: '' vs ''.
NEI-2021-AS-004,NEI-2021-SK-010,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),2_DAYS_DIFF,341.85_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 341.9 km and 2 days. Roads: '' vs 'La turning-Basilakha Road'.
NEI-2021-MN-001,NEI-2021-MN-002,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),57_DAYS_DIFF,4.60_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 4.6 km and 57 days. Roads: '' vs 'Imphal-Tamenglong Road'.
NEI-2021-MN-001,NEI-2021-MN-005,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),18_DAYS_DIFF,15.75_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 15.7 km and 18 days. Roads: '' vs 'Imphal-Tamenglong Road'.
NEI-2021-MN-001,NEI-2021-MN-006,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),1_DAYS_DIFF,15.75_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 15.7 km and 1 days. Roads: '' vs 'Imphal-Tamenglong Road'.
NEI-2021-MN-002,NEI-2021-MN-005,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),39_DAYS_DIFF,20.29_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 20.3 km and 39 days. Roads: 'Imphal-Tamenglong Road' vs 'Imphal-Tamenglong Road'.
NEI-2021-MN-002,NEI-2021-MN-006,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),56_DAYS_DIFF,20.29_KM,MODERATE,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 20.3 km and 56 days. Roads: 'Imphal-Tamenglong Road' vs 'Imphal-Tamenglong Road'.
NEI-2021-MN-002,NEI-2021-ML-003,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),EXACT_DATE,151.57_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 151.6 km and 0 days. Roads: 'Imphal-Tamenglong Road' vs 'NH 06'.
NEI-2021-MN-002,NEI-2021-NL-012,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),2_DAYS_DIFF,72.36_KM,LOW,FALSE,DIFFERENT_EVENT,PROXIMAL_INDEPENDENT_EVENT,PROXIMAL_INDEPENDENT_EVENT: Independent slope occurrences separated by 72.4 km and 2 days. Roads: 'Imphal-Tamenglong Road' vs 'Pfutsero-Khomi-Phek'.
