control_id,reference_event_id,state,district,latitude,longitude,control_start,control_end,rainfall_1h_mm,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,rainfall_source,coverage,quality,source,notes
CTRL-2021-AS-019,NEI-2021-AS-002,Assam,Nagaon,26.574761,93.110996,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Kaliabor) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AS-020,NEI-2021-AS-003,Assam,Kamrup Metropolitan,26.170251,91.690161,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Guwahati) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-AS-021,NEI-2021-AS-004,Assam,Kamrup Metropolitan,26.154238,91.810523,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Borbari) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MA-022,NEI-2021-MN-001,Manipur,Senapati,25.217562,93.820138,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Between Tujang Waichong and Selsi Village) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MA-023,NEI-2021-MN-002,Manipur,Tamenglong,25.241119,93.857702,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Lamlenkon in Tujang Vaichong) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MA-024,NEI-2021-MN-003,Manipur,Churachandpur,24.503658,93.509375,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (S Kholep village) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MA-025,NEI-2021-MN-004,Manipur,Tamenglong,24.826041,93.56119,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (5 km from Awang Khul Village away) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MA-026,NEI-2021-MN-005,Manipur,Tamenglong,25.158298,93.677995,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Tamei Village) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MA-027,NEI-2021-MN-006,Manipur,Tamenglong,25.158298,93.677995,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Tamei Village) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MA-028,NEI-2021-MN-007,Manipur,Chandel,24.319566,94.160246,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Chahmol Village) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MA-029,NEI-2021-MN-008,Manipur,Tamenglong,24.818353,93.440246,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,"CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (8km towards Thingou, 15 km north from Nungba PS) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation."
CTRL-2021-MA-030,NEI-2021-MN-009,Manipur,Ukhrul,25.091769,94.358421,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,"CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Mini Secretariat Complex, Hamleikhong) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation."
CTRL-2021-MA-031,NEI-2021-MN-010,Manipur,Tamenglong,24.767366,93.332535,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Sibilong Temple) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MA-032,NEI-2021-MN-011,Manipur,Chandel,24.005219,93.915829,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (KhulmuIen-Sajik Road in Sajik Val ey) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-ME-033,NEI-2021-ML-001,Meghalaya,East Khasi Hills,25.585545,91.86466,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Sonapani Hydro-Electric Power Project) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-ME-034,NEI-2021-ML-002,Meghalaya,West Garo Hills,25.499358,90.214668,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Tura-Dalu stretch) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-ME-035,NEI-2021-ML-003,Meghalaya,Jaintia Hills,25.081742,92.362063,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,"CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Kuliang Village, Khilerihat) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation."
CTRL-2021-ME-036,NEI-2021-ML-004,Meghalaya,South Garo Hills,25.202693,90.831915,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Malikona Village Baghmara town) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MI-037,NEI-2021-MZ-001,Mizoram,Lawngtlai,22.130154,92.761693,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Zochachhuah) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MI-038,NEI-2021-MZ-002,Mizoram,Lunglei,22.805047,92.816565,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Bualtei) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MI-039,NEI-2021-MZ-003,Mizoram,Aizawl,23.74192,92.741738,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Tnuampui) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-MI-040,NEI-2021-MZ-004,Mizoram,Aizawl,23.689863,92.859428,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Thingsulthliah Village) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-041,NEI-2021-NL-001,Nagaland,Dimapur,25.793499,93.805655,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Near TL Park between Chumoukedima and Kukidalong) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-042,NEI-2021-NL-002,Nagaland,Dimapur,25.772599,93.806,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Near TL Park between Chumoukedima and Kukidalong) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-043,NEI-2021-NL-003,Nagaland,Wokha,26.092899,94.254627,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Lower Etsuchuka Colony) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-044,NEI-2021-NL-004,Nagaland,Tuensang,26.046657,94.767115,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Wangshu Village) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-045,NEI-2021-NL-005,Nagaland,Phek,25.657788,94.438812,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Landslide between Losami and Phek Village) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-046,NEI-2021-NL-006,Nagaland,Wokha,26.096249,94.254289,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Police Point) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-047,NEI-2021-NL-007,Nagaland,Wokha,26.091211,94.246956,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Airfield Co ony) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-048,NEI-2021-NL-008,Nagaland,Wokha,26.208542,94.221938,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Between Sanis and Doyang) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-049,NEI-2021-NL-009,Nagaland,Dimapur,25.766187,93.940678,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Piphema) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-050,NEI-2021-NL-010,Nagaland,Kiphire,25.7623,94.863047,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Pungro-Mimi axis Longkhimong village near) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-051,NEI-2021-NL-011,Nagaland,Phek,25.603106,94.686755,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Ziphu) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-052,NEI-2021-NL-012,Nagaland,Phek,25.659725,94.409427,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site () with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-053,NEI-2021-NL-013,Nagaland,Phek,25.723469,94.402948,2021-02-05,2021-02-12,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site () with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-054,NEI-2021-NL-014,Nagaland,Tuensang,26.250081,95.061502,2021-11-15,2021-11-22,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Wensoi Village) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
CTRL-2021-NA-055,NEI-2021-NL-015,Nagaland,Tuensang,26.232589,94.939423,2021-01-10,2021-01-17,0.0,0.0,0.0,0.0,CWC / IMD dry-season baseline monitoring,100.0%,CANDIDATE_CONTROL,LANDSLIDENEI candidate control selection logic,CANDIDATE_CONTROL ONLY: Non-monsoon observation period at historical event site (Chendang Saddle and Noklak) with no documented landslide in NESAC inventory. CRITICAL: NOT confirmed non-landslide. Must NOT be used as binary 0 negative training labels without independent satellite/field confirmation.
