event_id,rainfall_source,rainfall_dataset,station_or_grid_id,station_name,station_latitude,station_longitude,station_distance_km,grid_offset_km,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_12h_mm,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,rainfall_7d_mm,API_3d,API_7d,rainfall_coverage,rainfall_quality,rainfall_missing_flag,notes
NEI-2021-AR-015,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_28.2_95.0,NASA GPM Satellite Grid 0.1deg,28.25,95.05,,5.5,,,,,47.07,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-016,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.8_94.1,NASA GPM Satellite Grid 0.1deg,27.85,94.15,,5.5,,,,,3.68,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AR-017,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.1_92.6,NASA GPM Satellite Grid 0.1deg,27.15,92.65,,5.5,,,,,0.0,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AS-001,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.2_91.7,NASA GPM Satellite Grid 0.1deg,26.25,91.75,,5.5,,,,,121.19,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AS-002,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.6_93.1,NASA GPM Satellite Grid 0.1deg,26.65,93.15,,5.5,,,,,38.0,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AS-003,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.2_91.7,NASA GPM Satellite Grid 0.1deg,26.25,91.75,,5.5,,,,,21.31,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-AS-004,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.2_91.8,NASA GPM Satellite Grid 0.1deg,26.25,91.85,,5.5,,,,,0.01,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MN-001,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.2_93.8,NASA GPM Satellite Grid 0.1deg,25.25,93.85,,5.5,,,,,10.34,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MN-002,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.2_93.9,NASA GPM Satellite Grid 0.1deg,25.25,93.95,,5.5,,,,,7.93,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MN-003,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_24.5_93.5,NASA GPM Satellite Grid 0.1deg,24.55,93.55,,5.5,,,,,101.29,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MN-004,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_24.8_93.6,NASA GPM Satellite Grid 0.1deg,24.85,93.65,,5.5,,,,,4.37,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MN-005,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.2_93.7,NASA GPM Satellite Grid 0.1deg,25.25,93.75,,5.5,,,,,15.71,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MN-006,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.2_93.7,NASA GPM Satellite Grid 0.1deg,25.25,93.75,,5.5,,,,,20.43,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MN-007,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_24.3_94.2,NASA GPM Satellite Grid 0.1deg,24.35,94.25,,5.5,,,,,1.53,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MN-008,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_24.8_93.4,NASA GPM Satellite Grid 0.1deg,24.85,93.45,,5.5,,,,,48.19,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MN-009,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.1_94.4,NASA GPM Satellite Grid 0.1deg,25.15,94.45,,5.5,,,,,0.0,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MN-010,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_24.8_93.3,NASA GPM Satellite Grid 0.1deg,24.85,93.35,,5.5,,,,,67.99,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MN-011,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_24.0_93.9,NASA GPM Satellite Grid 0.1deg,24.05,93.95,,5.5,,,,,0.09,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-ML-001,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.6_91.9,NASA GPM Satellite Grid 0.1deg,25.65,91.95,,5.5,,,,,0.28,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-ML-002,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.5_90.2,NASA GPM Satellite Grid 0.1deg,25.55,90.25,,5.5,,,,,107.62,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-ML-003,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.1_92.4,NASA GPM Satellite Grid 0.1deg,25.15,92.45,,5.5,,,,,90.03,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-ML-004,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.2_90.8,NASA GPM Satellite Grid 0.1deg,25.25,90.85,,5.5,,,,,200.13,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MZ-001,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_22.1_92.8,NASA GPM Satellite Grid 0.1deg,22.15,92.85,,5.5,,,,,14.35,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MZ-002,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_22.8_92.8,NASA GPM Satellite Grid 0.1deg,22.85,92.85,,5.5,,,,,203.52,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MZ-003,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_23.7_92.7,NASA GPM Satellite Grid 0.1deg,23.75,92.75,,5.5,,,,,17.59,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-MZ-004,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_23.7_92.9,NASA GPM Satellite Grid 0.1deg,23.75,92.95,,5.5,,,,,7.24,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-001,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.8_93.8,NASA GPM Satellite Grid 0.1deg,25.85,93.85,,5.5,,,,,0.0,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-002,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.8_93.8,NASA GPM Satellite Grid 0.1deg,25.85,93.85,,5.5,,,,,0.0,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-003,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.1_94.3,NASA GPM Satellite Grid 0.1deg,26.15,94.35,,5.5,,,,,57.99,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-004,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.0_94.8,NASA GPM Satellite Grid 0.1deg,26.05,94.85,,5.5,,,,,43.89,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-005,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.7_94.4,NASA GPM Satellite Grid 0.1deg,25.75,94.45,,5.5,,,,,1.33,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-006,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.1_94.3,NASA GPM Satellite Grid 0.1deg,26.15,94.35,,5.5,,,,,57.99,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-007,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.1_94.2,NASA GPM Satellite Grid 0.1deg,26.15,94.25,,5.5,,,,,57.99,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-008,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.2_94.2,NASA GPM Satellite Grid 0.1deg,26.25,94.25,,5.5,,,,,8.49,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-009,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.8_93.9,NASA GPM Satellite Grid 0.1deg,25.85,93.95,,5.5,,,,,2.61,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-010,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.8_94.9,NASA GPM Satellite Grid 0.1deg,25.85,94.95,,5.5,,,,,59.66,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-011,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.6_94.7,NASA GPM Satellite Grid 0.1deg,25.65,94.75,,5.5,,,,,65.4,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-012,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.7_94.4,NASA GPM Satellite Grid 0.1deg,25.75,94.45,,5.5,,,,,62.61,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-013,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_25.7_94.4,NASA GPM Satellite Grid 0.1deg,25.75,94.45,,5.5,,,,,37.74,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-014,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.3_95.1,NASA GPM Satellite Grid 0.1deg,26.35,95.15,,5.5,,,,,0.0,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-NL-015,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.2_94.9,NASA GPM Satellite Grid 0.1deg,26.25,94.95,,5.5,,,,,27.74,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-001,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.3_88.6,NASA GPM Satellite Grid 0.1deg,27.35,88.65,,5.5,,,,,6.27,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-002,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.2_88.2,NASA GPM Satellite Grid 0.1deg,27.25,88.25,,5.5,,,,,8.11,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-003,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.1_88.5,NASA GPM Satellite Grid 0.1deg,27.15,88.55,,5.5,,,,,33.11,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-004,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.1_88.5,NASA GPM Satellite Grid 0.1deg,27.15,88.55,,5.5,,,,,95.82,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-005,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.1_88.5,NASA GPM Satellite Grid 0.1deg,27.15,88.55,,5.5,,,,,27.44,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-006,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.1_88.5,NASA GPM Satellite Grid 0.1deg,27.15,88.55,,5.5,,,,,95.82,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-007,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.3_88.6,NASA GPM Satellite Grid 0.1deg,27.35,88.65,,5.5,,,,,198.11,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-008,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.1_88.5,NASA GPM Satellite Grid 0.1deg,27.15,88.55,,5.5,,,,,5.96,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-009,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.4_88.7,NASA GPM Satellite Grid 0.1deg,27.45,88.75,,5.5,,,,,3.3,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-010,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.3_88.6,NASA GPM Satellite Grid 0.1deg,27.35,88.65,,5.5,,,,,105.2,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-011,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.4_88.5,NASA GPM Satellite Grid 0.1deg,27.45,88.55,,5.5,,,,,140.64,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-012,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_27.1_88.3,NASA GPM Satellite Grid 0.1deg,27.15,88.35,,5.5,,,,,63.98,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
NEI-2021-SK-013,GPM/IMERG,NASA GPM IMERG Late Run (via NESAC NERDRR),GPM_GRID_26.9_88.4,NASA GPM Satellite Grid 0.1deg,26.95,88.45,,5.5,,,,,29.43,,,,,,100.0%,VERIFIED_SATELLITE,FALSE,Extracted via NESAC NERDRR automated rainfall pipeline from NASA GPM IMERG Late Run (0.1 deg). Sub-daily windows unobserved in summary card.
