event_id,event_date,event_time,event_time_precision,rainfall_start,rainfall_end,temporal_alignment,alignment_confidence,notes
NEI-2021-AR-013,2021-06-30,,DATE_ONLY,2021-06-30 00:00:00,2021-06-30 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-014,2021-04-28,,DATE_ONLY,2021-04-28 00:00:00,2021-04-28 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-015,2021-06-27,,DATE_ONLY,2021-06-27 00:00:00,2021-06-27 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-016,2021-09-09,,DATE_ONLY,2021-09-09 00:00:00,2021-09-09 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AR-017,2021-09-20,,DATE_ONLY,2021-09-20 00:00:00,2021-09-20 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AS-001,2021-06-18,04:30:00,EXACT_TIME,2021-06-18 00:00:00,2021-06-18 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AS-002,2021-08-25,,DATE_ONLY,2021-08-25 00:00:00,2021-08-25 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AS-003,2021-10-20,,DATE_ONLY,2021-10-20 00:00:00,2021-10-20 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-AS-004,2021-08-06,14:30:00,EXACT_TIME,2021-08-06 00:00:00,2021-08-06 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MN-001,2021-06-06,,DATE_ONLY,2021-06-06 00:00:00,2021-06-06 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MN-002,2021-08-02,03:30:00,EXACT_TIME,2021-08-02 00:00:00,2021-08-02 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MN-003,2021-08-20,,DATE_ONLY,2021-08-20 00:00:00,2021-08-20 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MN-004,2021-08-16,,DATE_ONLY,2021-08-16 00:00:00,2021-08-16 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MN-005,2021-06-24,,DATE_ONLY,2021-06-24 00:00:00,2021-06-24 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MN-006,2021-06-07,,DATE_ONLY,2021-06-07 00:00:00,2021-06-07 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MN-007,2021-07-26,,DATE_ONLY,2021-07-26 00:00:00,2021-07-26 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MN-008,2021-07-19,14:50:00,EXACT_TIME,2021-07-19 00:00:00,2021-07-19 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MN-009,2021-06-16,,DATE_ONLY,2021-06-16 00:00:00,2021-06-16 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MN-010,2021-07-19,,DATE_ONLY,2021-07-19 00:00:00,2021-07-19 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MN-011,2021-10-09,,DATE_ONLY,2021-10-09 00:00:00,2021-10-09 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-ML-001,2021-02-24,,DATE_ONLY,2021-02-24 00:00:00,2021-02-24 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-ML-002,2021-06-30,,DATE_ONLY,2021-06-30 00:00:00,2021-06-30 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-ML-003,2021-08-02,07:00:00,EXACT_TIME,2021-08-02 00:00:00,2021-08-02 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-ML-004,2021-06-30,,DATE_ONLY,2021-06-30 00:00:00,2021-06-30 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MZ-001,2021-08-26,,DATE_ONLY,2021-08-26 00:00:00,2021-08-26 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MZ-002,2021-07-19,,DATE_ONLY,2021-07-19 00:00:00,2021-07-19 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MZ-003,2021-06-11,,DATE_ONLY,2021-06-11 00:00:00,2021-06-11 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-MZ-004,2021-10-09,,DATE_ONLY,2021-10-09 00:00:00,2021-10-09 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-001,2021-02-02,,DATE_ONLY,2021-02-02 00:00:00,2021-02-02 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-002,2021-02-17,,DATE_ONLY,2021-02-17 00:00:00,2021-02-17 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-003,2021-08-06,,DATE_ONLY,2021-08-06 00:00:00,2021-08-06 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-004,2021-07-20,,DATE_ONLY,2021-07-20 00:00:00,2021-07-20 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-005,2021-07-12,,DATE_ONLY,2021-07-12 00:00:00,2021-07-12 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-006,2021-08-06,,DATE_ONLY,2021-08-06 00:00:00,2021-08-06 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-007,2021-08-06,,DATE_ONLY,2021-08-06 00:00:00,2021-08-06 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-008,2021-08-05,,DATE_ONLY,2021-08-05 00:00:00,2021-08-05 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-009,2021-05-10,07:00:00,EXACT_TIME,2021-05-10 00:00:00,2021-05-10 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-010,2021-08-17,,DATE_ONLY,2021-08-17 00:00:00,2021-08-17 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-011,2021-07-14,,DATE_ONLY,2021-07-14 00:00:00,2021-07-14 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-012,2021-07-31,,DATE_ONLY,2021-07-31 00:00:00,2021-07-31 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-013,2021-07-31,,DATE_ONLY,2021-07-31 00:00:00,2021-07-31 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-014,2021-11-08,,DATE_ONLY,2021-11-08 00:00:00,2021-11-08 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-NL-015,2021-09-09,,DATE_ONLY,2021-09-09 00:00:00,2021-09-09 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-001,2021-08-24,,DATE_ONLY,2021-08-24 00:00:00,2021-08-24 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-002,2021-08-24,,DATE_ONLY,2021-08-24 00:00:00,2021-08-24 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-003,2021-07-29,,DATE_ONLY,2021-07-29 00:00:00,2021-07-29 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-004,2021-07-30,,DATE_ONLY,2021-07-30 00:00:00,2021-07-30 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-005,2021-07-30,,DATE_ONLY,2021-07-30 00:00:00,2021-07-30 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-006,2021-07-30,,DATE_ONLY,2021-07-30 00:00:00,2021-07-30 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-007,2021-10-20,,DATE_ONLY,2021-10-20 00:00:00,2021-10-20 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-008,2021-06-18,,DATE_ONLY,2021-06-18 00:00:00,2021-06-18 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-009,2021-03-25,,DATE_ONLY,2021-03-25 00:00:00,2021-03-25 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-010,2021-08-08,,DATE_ONLY,2021-08-08 00:00:00,2021-08-08 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-011,2021-07-31,,DATE_ONLY,2021-07-31 00:00:00,2021-07-31 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-012,2021-07-30,,DATE_ONLY,2021-07-30 00:00:00,2021-07-30 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-013,2021-07-31,,DATE_ONLY,2021-07-31 00:00:00,2021-07-31 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-014,2021-07-30,,DATE_ONLY,2021-07-30 00:00:00,2021-07-30 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-015,2021-08-27,,DATE_ONLY,2021-08-27 00:00:00,2021-08-27 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-016,2021-06-01,,DATE_ONLY,2021-06-01 00:00:00,2021-06-01 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-017,2021-06-09,,DATE_ONLY,2021-06-09 00:00:00,2021-06-09 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-SK-018,2021-08-29,,DATE_ONLY,2021-08-29 00:00:00,2021-08-29 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-TR-001,2021-08-26,,DATE_ONLY,2021-08-26 00:00:00,2021-08-26 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
NEI-2021-TR-002,2021-08-26,,DATE_ONLY,2021-08-26 00:00:00,2021-08-26 23:59:59,SAME_DAY,HIGH,Rainfall temporally associated with the documented event (NASA GPM IMERG Late Run daily accumulation)
