station_key,station,state,district,latitude,longitude,timestamp,rainfall_1h,rainfall_24h,rainfall_3d,rainfall_7d,rainfall_24h_sum,rainfall_3d_sum,rainfall_7d_sum,rainfall_obs_24h,rainfall_obs_3d,rainfall_obs_7d,coverage_24h,coverage_3d,coverage_7d,missing_24h,missing_3d,missing_7d,rainfall_quality,timestamp_collision,quality_flag,source_file,source_period
Assam::Bihubar,Bihubar,Assam,SIVSAGAR,26.85333333,94.80055556,2019-08-18 11:00:00,6.5,56.5,,,27.0,27.0,55.5,3.0,3.0,7.0,0.125,0.0416666666666666,0.0416666666666666,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_1991_2020.csv,1991_2020_source
Assam::Bokajan,Bokajan,Assam,KARBI ANGLONG,26.01944444,93.78972222,2025-04-16 08:00:00,197.0,75.5,44.5,,197.0,197.0,360.0,1.0,1.0,2.0,0.0416666666666666,0.0138888888888888,0.0119047619047619,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Chenimari (Khowang),Chenimari (Khowang),Assam,DIBRUGARH,27.31222222,94.88166667,2021-07-10 07:00:00,0.5,,,,4.0,4.0,110.0,2.0,2.0,7.0,0.0833333333333333,0.0277777777777777,0.0416666666666666,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Chouldhowaghat,Chouldhowaghat,Assam,LAKHIMPUR,27.44888889,94.25,2026-06-03 23:00:00,24.5,45.0,332.0,1823.0,241.5,244.0,247.5,17.0,18.0,25.0,0.7083333333333334,0.25,0.1488095238095238,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::DRF,DRF,Assam,Baksa,26.77500833,91.69288611,2026-06-02 21:00:00,0.5,105.5,,,0.5,0.5,564.0,1.0,1.0,4.0,0.0416666666666666,0.0138888888888888,0.0238095238095238,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Desangpani,Desangpani,Assam,Charaideo,27.04666667,94.91222222,2026-09-02 09:00:00,1.0,25.5,64.0,143.5,22.5,22.5,364.0,5.0,5.0,25.0,0.2083333333333333,0.0694444444444444,0.1488095238095238,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Dharamtul,Dharamtul,Assam,MARIGAON,26.16833333,92.35861111,2023-07-18 12:00:00,0.5,63.5,,,0.5,0.5,0.5,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Dholabazar,Dholabazar,Assam,TINSUKIA,27.76361111,95.56611111,2026-01-02 21:00:00,119.0,161.0,101.0,,119.0,119.0,119.0,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Dholai,Dholai,Assam,CACHAR,24.59361111,92.84527778,2021-04-20 07:00:00,1.0,,,,1.0,42.0,61.0,1.0,5.0,12.0,0.0416666666666666,0.0694444444444444,0.0714285714285714,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Dhubri,Dhubri,Assam,DHUBRI,25.99099167,90.03248889,2022-08-09 20:00:00,1.0,,,,1.0,1.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,MISSING,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Dibrugarh,Dibrugarh,Assam,DIBRUGARH,27.48861111,94.90972222,2022-05-01 23:00:00,5.0,39.5,,,5.0,55.5,111.5,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,MISSING,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Dillighat,Dillighat,Assam,DIBRUGARH,27.14,95.37,2024-03-23 03:00:00,357.5,18.5,53.0,,357.5,357.5,357.5,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Gelabil,Gelabil,Assam,GOLAGHAT,26.24444444,93.97277778,2026-05-14 14:00:00,505.0,90.5,,,505.0,590.0,590.0,1.0,2.0,2.0,0.0416666666666666,0.0277777777777777,0.0119047619047619,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Gharmura,Gharmura,Assam,HAILAKANDI,24.28527778,92.51611111,2021-05-17 09:00:00,31.0,,,,31.0,109.5,218.5,1.0,8.0,21.0,0.0416666666666666,0.1111111111111111,0.125,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Goalpara,Goalpara,Assam,GOALPARA,26.18472222,90.63388889,2025-02-01 06:00:00,6.0,,,,11.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,MISSING,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Golaghat,Golaghat,Assam,GOLAGHAT,26.50361111,93.95166667,2024-08-05 00:00:00,0.5,63.0,,,68.0,68.0,68.0,3.0,3.0,3.0,0.125,0.0416666666666666,0.0178571428571428,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Golokganj,Golokganj,Assam,DHUBRI,26.10722222,89.82361111,2026-06-03 13:00:00,0.5,,,,34.0,80.0,89.5,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,MISSING,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Guwahati(D.C.Court),Guwahati(D.C.Court),Assam,KAMRUP,26.1947,91.7431,2022-11-26 20:00:00,1.0,51.0,,,87.0,93.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,MISSING,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::KANGKUBASTI,KANGKUBASTI,Assam,DHEMAJI,27.64972222,94.60805556,2025-03-30 01:00:00,287.0,,,,287.0,287.0,287.0,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Kampur,Kampur,Assam,NAGAON,26.15277778,92.65333333,2026-06-02 10:00:00,3.0,10.5,33.5,,3.0,3.0,3.0,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Karimganj,Karimganj,Assam,KARIMGANJ,24.87861111,92.35666667,2026-05-27 09:00:00,215.5,12.5,235.0,279.5,215.5,215.5,215.5,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Kheronighat,Kheronighat,Assam,KARBI ANGLONG,25.84861111,92.885,2021-08-04 13:00:00,8.0,43.0,,,8.0,8.0,8.0,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Kokrajhar,Kokrajhar,Assam,KOKRAJHAR,26.39757222,90.25405833,2023-08-14 06:00:00,0.5,92.0,45.5,3162.0,1.5,69.0,82.5,3.0,26.0,41.0,0.125,0.3611111111111111,0.244047619047619,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Lakhipur,Lakhipur,Assam,CACHAR,24.67222222,93.10305556,2026-06-03 04:00:00,768.0,,,,768.0,768.0,2112.0,1.0,1.0,3.0,0.0416666666666666,0.0138888888888888,0.0178571428571428,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Manas N H Crossing,Manas N H Crossing,Assam,BONGAIGAON,26.46421667,90.75003333,2023-11-12 17:00:00,78.0,26.0,875.5,,78.0,78.0,78.0,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,HIGH_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Margherita,Margherita,Assam,TINSUKIA,27.28361111,95.66277778,2026-06-02 12:00:00,320.0,9.5,32.5,,344.0,800.0,1057.0,2.0,3.0,4.0,0.0833333333333333,0.0416666666666666,0.0238095238095238,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Mathanguri,Mathanguri,Assam,Baksa,26.78277778,90.95666667,2022-11-26 06:30:00,2.5,101.5,61.0,,2.5,2.5,2.5,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Melabazar,Melabazar,Assam,BARPETA,26.80416667,91.52916667,2024-07-31 07:00:00,0.5,111.0,,,2.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,MISSING,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::NH RD Xing(Puthimari),NH RD Xing(Puthimari),Assam,KAMRUP,26.3469,91.6486,2021-08-25 22:00:00,0.5,35.0,,,0.5,0.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,MISSING,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::NT Road Crossing Jia-Bharali,NT Road Crossing Jia-Bharali,Assam,SONITPUR,26.81,92.87972222,2025-05-01 03:00:00,120.5,92.5,,,120.5,120.5,120.5,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::NT Road Crossing(Jiabharali),NT Road Crossing(Jiabharali),Assam,SONITPUR,26.8097,92.8789,2024-06-16 16:00:00,0.5,9.0,182.0,385.0,0.5,6.5,265.5,1.0,6.0,10.0,0.0416666666666666,0.0833333333333333,0.0595238095238095,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Neharkatia,Neharkatia,Assam,DIBRUGARH,27.31888889,95.31055556,2026-05-30 02:00:00,555.0,54.0,185.5,,663.0,663.0,663.0,2.0,2.0,2.0,0.0833333333333333,0.0277777777777777,0.0119047619047619,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Nematighat,Nematighat,Assam,JORHAT,26.8603,94.2522,2026-06-03 11:00:00,0.5,24.5,114.5,,0.5,57.5,59.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,MISSING,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Numaligarh,Numaligarh,Assam,GOLAGHAT,26.63111111,93.73055556,2026-04-03 05:00:00,0.5,110.5,1064.5,2146.5,3.0,3.0,3.0,2.0,2.0,2.0,0.0833333333333333,0.0277777777777777,0.0119047619047619,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2026_2030.csv,2026_2030_source
Assam::Sivasagar,Sivasagar,Assam,SIVSAGAR,26.98166667,94.57916667,2024-01-20 09:00:00,243.5,21.0,243.5,,243.5,243.5,243.5,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,EXTREME_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::Tezpur,Tezpur,Assam,SONITPUR,26.61583333,92.79694444,2023-08-28 07:00:00,1.0,60.5,,,1.5,5.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,MISSING,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Assam::ghilamora,ghilamora,Assam,LAKHIMPUR,27.31666667,94.41638889,2024-01-27 04:00:00,60.0,1269.5,11216.5,2821.0,60.0,60.0,60.0,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,HIGH_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_as_2021_2025.csv,2021_2025_source
Manipur::Amraghat,Amraghat,Manipur,THOUBAL,24.58333333,93.96666667,2023-04-12 22:00:00,2.0,43.0,,,2.0,2.0,2.0,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_mn_2021_2025.csv,2021_2025_source
Nagaland::Doyang Hep Reservoir,Doyang Hep Reservoir,Nagaland,WOKHA,26.23,94.26083333,2026-06-02 07:00:00,0.5,82.5,219.0,,7.5,11.5,586.0,5.0,7.0,12.0,0.2083333333333333,0.0972222222222222,0.0714285714285714,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_nl_2026_2030.csv,2026_2030_source
Sikkim::Dentam,Dentam,Sikkim,SORENG,27.26333333,88.13027778,2020-12-06 23:30:00,0.4,12.4,,,1.5,2.0,2.0,3.0,6.0,6.0,0.125,0.0833333333333333,0.0357142857142857,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_sk_1991_2020.csv,1991_2020_source
Sikkim::Dickchu(GOR),Dickchu(GOR),Sikkim,GANGTOK DISTRICT,27.42138889,88.51416667,2020-12-07 02:30:00,0.1,,,,0.7000000000000001,2.0,2.0,3.0,8.0,8.0,0.125,0.1111111111111111,0.0476190476190476,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_sk_1991_2020.csv,1991_2020_source
Sikkim::Majitar,Majitar,Sikkim,NAMCHI,27.10722222,88.32222222,2020-12-04 14:30:00,1.0,175.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_sk_1991_2020.csv,1991_2020_source
Sikkim::Rangit Nagar,Rangit Nagar,Sikkim,NAMCHI,27.29972222,88.3075,2020-12-08 10:30:00,11.4,350.0,,,11.4,11.4,12.1,1.0,1.0,4.0,0.0416666666666666,0.0138888888888888,0.0238095238095238,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_sk_1991_2020.csv,1991_2020_source
Sikkim::Rangpo,Rangpo,Sikkim,GANGTOK DISTRICT,27.17166667,88.52972222,2020-12-09 18:30:00,20.0,,,,40.0,40.0,40.0,2.0,2.0,2.0,0.0833333333333333,0.0277777777777777,0.0119047619047619,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_sk_1991_2020.csv,1991_2020_source
Sikkim::Rangpo Dam,Rangpo Dam,Sikkim,PAKYONG,27.24,88.71,2020-12-08 07:30:00,0.1,,,,0.1,1.0000000000000002,2.7,1.0,7.0,10.0,0.0416666666666666,0.0972222222222222,0.0595238095238095,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_sk_1991_2020.csv,1991_2020_source
Sikkim::Reshi,Reshi,Sikkim,NAMCHI,27.22555556,88.30444444,2020-10-26 11:30:00,0.1,14.4,,,1.0,1.0,1.0,2.0,2.0,2.0,0.0833333333333333,0.0277777777777777,0.0119047619047619,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_sk_1991_2020.csv,1991_2020_source
Sikkim::Rongli Dam,Rongli Dam,Sikkim,PAKYONG,27.2,88.71,2020-12-07 02:30:00,0.1,,,,0.8,2.4,2.4,3.0,7.0,7.0,0.125,0.0972222222222222,0.0416666666666666,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_sk_1991_2020.csv,1991_2020_source
Sikkim::Sankalan,Sankalan,Sikkim,MANGAN,27.50833333,88.525,2020-11-29 18:30:00,80.0,91.0,141.5,,80.0,80.0,80.0,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,HIGH_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_sk_1991_2020.csv,1991_2020_source
Sikkim::Sankalang,Sankalang,Sikkim,MANGAN,27.51722222,88.53222222,2020-12-07 03:30:00,0.5,28.8,86.39999999999999,156.0,2.0,10.0,10.0,4.0,10.0,10.0,0.1666666666666666,0.1388888888888889,0.0595238095238095,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_sk_1991_2020.csv,1991_2020_source
Tripura::Amarpur,Amarpur,Tripura,Gomati,23.52833333,91.65277778,2023-08-14 21:00:00,0.5,23.0,,,0.5,1.0,12.5,1.0,2.0,15.0,0.0416666666666666,0.0277777777777777,0.0892857142857142,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_tr_2021_2025.csv,2021_2025_source
Tripura::GUMTI HYDRO DAM,GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,23.42916667,91.82222222,2026-05-11 23:00:00,0.5,9.5,54.0,,0.5,0.5,0.5,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_tr_2026_2030.csv,2026_2030_source
Tripura::Kallashahar,Kallashahar,Tripura,NORTH TRIPURA,24.31611111,91.99416667,2025-05-24 21:00:00,54.0,32.0,528.5,,54.0,311.0,560.5,1.0,2.0,4.0,0.0416666666666666,0.0277777777777777,0.0238095238095238,True,True,True,HIGH_REVIEW,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_tr_2021_2025.csv,2021_2025_source
Tripura::Manughat,Manughat,Tripura,Unakoti,23.99611111,91.98944444,2024-05-28 12:00:00,4.5,,,,101.0,485.5,487.5,12.0,25.0,29.0,0.5,0.3472222222222222,0.1726190476190476,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_tr_2021_2025.csv,2021_2025_source
Tripura::Sonamura,Sonamura,Tripura,Sepahijala,23.47222222,91.26277778,2021-08-26 04:00:00,0.5,56.5,40.0,,0.5,0.5,0.5,1.0,1.0,1.0,0.0416666666666666,0.0138888888888888,0.0059523809523809,True,True,True,VALID,False,LOW_24H_COVERAGE,rainfall_tel_hr_cwc_tr_2021_2025.csv,2021_2025_source
